id,code,name,country,league,avatar
1,ALL,All Boys,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/allboys.png
2,ARG,Argentinos Jrs,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/argentinosjuniors.png
3,ARS,Arsenal,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/arsenal.png
4,ATR,Atlético Rafaela,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/atleticorafaela.png
5,BEL,Belgrano,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/belgrano.png
6,BOC,Boca,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/boca.png
7,COL,Colón,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/colon.png
8,EST,Estudiantes LP,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/estudiantes.png
9,GIM,Gimnasia LP,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/gimnasialaplata.png
10,GOD,Godoy Cruz,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/godoycruz.png
11,LAN,Lanús,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/lanus.png
12,NEW,Newell's Old Boys,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/newells.png
13,OLI,Olimpo,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/olimpo.png
14,QUI,Quilmes,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/quilmes.png
15,RAC,Racing,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/racing.png
16,RIV,River,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/riverplate.png
17,ROS,Rosario Central,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/rosariocentral.png
18,SLO,San Lorenzo,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/sanlorenzo.png
19,TIG,Tigre,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/tigre.png
20,VEL,Velez,Argentina,Torneo Final 2014,http://webprode.com.ar/images/escudos/grandes/velez.png
